team,auto_charge_station_points,auto_grid_points,cube_points,cone_points,endgame_charge_station_points,rank
2075,4.12,12.38,14.22,24.62,9.65,1
1730,4.51,6.15,11.64,17.89,9.65,2
3175,7.52,9.63,15.8,14.7,9.83,3
51,6,8.52,12.94,20.49,9.16,4
973,7.69,7.74,13.92,19.56,8.34,5
3339,6.78,6.82,11.07,16.92,8.08,6
4499,7.58,9.71,13.61,24.25,6.68,7
1718,8.09,7.47,9.33,24.49,7.97,8
7558,5.48,10.43,11.44,20.73,7.71,9
6377,6.22,5.78,13.35,17.91,9.58,10
5940,6.68,13.05,16.89,23.46,8.83,1
1756,8.07,7.28,13.45,23.25,8.57,2
6329,6.65,10.84,13.75,27.38,9.99,3
4738,6.62,7.85,10.3,22.89,6.66,4
8046,6.73,7.26,10.88,16.85,9.63,5
3310,6.5,6.7,13.22,20.63,7.72,6
148,5.52,7.04,11.19,24.36,9.23,7
3847,7.63,5.63,11.1,18.99,7.05,8
7220,7,5.83,9.49,14.95,7.77,9
5414,6.96,5.39,13.83,14.27,8.37,10
2056,6.51,12.79,14.7,32.47,8.14,1
118,8.15,9.62,12.28,21.76,9.99,2
2607,4.77,6.12,15.53,11.93,9.54,3
254,7.05,11.58,16.87,25.25,9.3,4
111,7.55,11.31,14.07,25.09,9.35,5
624,6.65,9.17,13.33,19.35,10.42,6
8085,5.06,6.4,11.43,19.03,8.22,7
2468,9.23,10.75,15.85,20.9,8.06,8
1102,6.27,8.15,13.7,16.36,6.7,9
687,6.58,7.08,10.51,20.94,8.35,10
2539,6.25,9.08,14.62,19.89,10.01,1
3655,6.47,8.09,13.2,20.57,8.48,2
3937,7.64,8.05,13.82,18.43,7.11,3
319,6.69,9.37,13.2,18.62,7.97,4
3604,6.37,8.17,15.43,11.73,7.09,5
384,7.59,7.41,12.05,21.3,7.14,6
469,6.78,6.27,9.19,18.22,8.78,7
587,7.42,8.69,10.26,21.01,6.17,8
930,6.68,10.16,15.54,23.57,9.35,9
1683,6.13,10.62,10.94,19.79,9.12,10
4143,7.05,9.46,12.03,21.3,10.59,1
3940,6.49,5.63,11.96,18.21,6.96,2
4329,6.94,6.79,9.84,13.86,9.66,3
3039,5.98,10.28,13.22,20.73,7.82,4
900,8.33,6.74,11.31,15.98,8.63,5
1156,8.26,3.99,8.19,13.56,7.96,6
2992,7.26,7.14,10.2,19.36,8.42,7
4522,5.31,9.74,14.08,24.5,11.41,8
494,8.11,8.77,11.52,22.18,8.41,9
5665,6.4,5.87,9.4,7.48,9.7,10
