team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, rank
1678, 7.06, 11.38, 17.54, 23.63, 11.69, 1
1114, 5.5, 7.73, 14.46, 21.63, 7.99, 2
103, 7.6, 4.99, 14.68, 16.68, 8.62, 3
8013, 6.73, 7.12, 10.49, 19.53, 8.01, 4
3476, 5.55, 10.73, 13.2, 22.8, 7.68, 5
6800, 5.58, 6.45, 13.12, 16.69, 8.62, 6
4451, 8.72, 6.34, 11.65, 17.79, 8.5, 7
3539, 2.88, 8.77, 11.17, 19.2, 9.52, 8
7197, 4.61, 4.33, 8.58, 17.36, 8.13, 9
3467, 6.69, 10.01, 15.93, 22.38, 8.21, 10
67, 6.25, 10.57, 16.27, 20.75, 7.37, 11
1690, 7.11, 9.74, 14.68, 21.54, 8.39, 12
59, 5.33, 5.86, 10.87, 18.7, 8.93, 13
2630, 5.81, 6, 11.43, 18.99, 7.83, 14
7258, 6.7, 3.79, 10.77, 6.04, 8.26, 15
5166, 6.52, 10.79, 12.22, 24, 7.67, 16
3005, 6.59, 12.1, 14.24, 28.02, 7.16, 17
4381, 6.23, 11.43, 14.37, 20.08, 7.44, 18
8033, 6.2, 5.75, 13.78, 17.95, 8.72, 19
948, 6.9, 5.82, 15.48, 9.08, 8.31, 20
5472, 8.54, 5.64, 11.39, 23.24, 8.43, 1
2767, 7.03, 11.91, 13.11, 23.64, 8.1, 2
3314, 7.73, 7.54, 16, 18.39, 8.22, 3
2054, 6.13, 7.5, 12.54, 21.72, 6.34, 4
1731, 7.71, 10.1, 16.82, 21.16, 8.57, 5
5460, 7.32, 7.19, 12.51, 21.75, 7.25, 6
4201, 5.58, 6.33, 11.77, 19.21, 8, 7
2659, 5.4, 8.74, 12.99, 20.41, 8.46, 8
4206, 5.67, 6.4, 16.2, 13.76, 8.75, 9
6081, 7.16, 8.86, 11, 16.9, 8.03, 10
2713, 4.12, 7.56, 11.59, 18.05, 9.42, 11
6424, 9.16, 7.7, 11.48, 21.93, 8.03, 12
4946, 6.26, 9.41, 14.36, 20.37, 8.62, 13
1922, 5.24, 5.85, 15.29, 8.47, 7.52, 14
4795, 7.68, 7.89, 12.93, 16.35, 7.74, 15
695, 6.73, 7.79, 12.82, 24.16, 6.96, 16
2363, 7.82, 6.72, 11.93, 26.16, 8.11, 17
5216, 5.47, 6.64, 9.06, 20.3, 9.91, 18
20, 7.4, 6.76, 8.82, 18.1, 8.71, 19
1781, 5.78, 7.01, 9.28, 19.55, 8.38, 20
2056, 6.51, 12.79, 14.7, 32.47, 8.14, 1
118, 8.15, 9.62, 12.28, 21.76, 9.99, 2
2607, 4.77, 6.12, 15.53, 11.93, 9.54, 3
254, 7.05, 11.58, 16.87, 25.25, 9.3, 4
111, 7.55, 11.31, 14.07, 25.09, 9.35, 5
624, 6.65, 9.17, 13.33, 19.35, 10.42, 6
8085, 5.06, 6.4, 11.43, 19.03, 8.22, 7
2468, 9.23, 10.75, 15.85, 20.9, 8.06, 8
1102, 6.27, 8.15, 13.7, 16.36, 6.7, 9
687, 6.58, 7.08, 10.51, 20.94, 8.35, 10
1577, 4.83, 8.08, 15.75, 24.06, 9.72, 11
2687, 6.13, 7.83, 13.11, 19.11, 7.3, 12
1561, 4.92, 6.11, 18.35, 6.71, 8.69, 13
4903, 7.66, 7.59, 11.71, 20.08, 6.42, 14
33, 6.4, 8.96, 14.1, 18.35, 8.63, 15
6036, 5.1, 11.41, 18, 24.14, 7.77, 16
4028, 7.11, 10.66, 14.38, 21.23, 9.69, 17
6078, 6.17, 6.32, 11.07, 17.21, 6.02, 18
70, 6.58, 8.49, 11.15, 20.12, 10.53, 19
1619, 7.83, 9.04, 13.07, 21.91, 8.7, 20
2539, 6.25, 9.08, 14.62, 19.89, 10.01, 1
3655, 6.47, 8.09, 13.2, 20.57, 8.48, 2
3937, 7.64, 8.05, 13.82, 18.43, 7.11, 3
319, 6.69, 9.37, 13.2, 18.62, 7.97, 4
3604, 6.37, 8.17, 15.43, 11.73, 7.09, 5
384, 7.59, 7.41, 12.05, 21.3, 7.14, 6
469, 6.78, 6.27, 9.19, 18.22, 8.78, 7
587, 7.42, 8.69, 10.26, 21.01, 6.17, 8
930, 6.68, 10.16, 15.54, 23.57, 9.35, 9
1683, 6.13, 10.62, 10.94, 19.79, 9.12, 10
1414, 7.37, 7.17, 11.33, 17.8, 5.88, 11
5895, 7.24, 7.19, 11.63, 23.74, 7.17, 12
316, 6.44, 5.53, 12.87, 16.92, 10.94, 13
2399, 7.96, 7.01, 9.35, 15.92, 8.98, 14
1599, 7.91, 5.67, 9.91, 14.58, 9.04, 15
176, 5.57, 11.38, 15.35, 22.78, 8.59, 16
1923, 8.55, 4.68, 19.92, 9.65, 10.12, 17
4039, 7.16, 8.23, 13.35, 20.72, 9.17, 18
604, 5.4, 8.17, 9.24, 23.03, 10.05, 19
910, 4.88, 7.44, 9.66, 15.46, 7.8, 20
2075, 4.12, 12.38, 14.22, 24.62, 9.65, 1
1730, 4.51, 6.15, 11.64, 17.89, 9.65, 2
3175, 7.52, 9.63, 15.8, 14.7, 9.83, 3
51, 6, 8.52, 12.94, 20.49, 9.16, 4
973, 7.69, 7.74, 13.92, 19.56, 8.34, 5
3339, 6.78, 6.82, 11.07, 16.92, 8.08, 6
4499, 7.58, 9.71, 13.61, 24.25, 6.68, 7
1718, 8.09, 7.47, 9.33, 24.49, 7.97, 8
7558, 5.48, 10.43, 11.44, 20.73, 7.71, 9
6377, 6.22, 5.78, 13.35, 17.91, 9.58, 10
4011, 5.41, 6.7, 6.42, 15.4, 7.98, 11
88, 4.97, 7.7, 8.83, 23.9, 10.57, 12
4342, 5.22, 6.48, 9.38, 20.22, 7.79, 13
2067, 3.74, 8.76, 10.28, 18.98, 9.4, 14
359, 6.83, 8.55, 13.02, 19.38, 9.12, 15
1425, 6.72, 9.35, 10.84, 20.06, 6.08, 16
9312, 5.34, 5.83, 9.57, 21.55, 8.66, 17
4920, 5.8, 9.26, 8.82, 18.66, 7.04, 18
1802, 4.74, 4.07, 8.44, 11.28, 8.92, 19
4976, 5.28, 6.89, 9.94, 18.93, 8.04, 20
4143, 7.05, 9.46, 12.03, 21.3, 10.59, 1
3940, 6.49, 5.63, 11.96, 18.21, 6.96, 2
4329, 6.94, 6.79, 9.84, 13.86, 9.66, 3
3039, 5.98, 10.28, 13.22, 20.73, 7.82, 4
900, 8.33, 6.74, 11.31, 15.98, 8.63, 5
1156, 8.26, 3.99, 8.19, 13.56, 7.96, 6
2992, 7.26, 7.14, 10.2, 19.36, 8.42, 7
4522, 5.31, 9.74, 14.08, 24.5, 11.41, 8
494, 8.11, 8.77, 11.52, 22.18, 8.41, 9
5665, 6.4, 5.87, 9.4, 7.48, 9.7, 10
4099, 3.85, 7.58, 11.81, 14.48, 7.7, 11
179, 4.76, 5.85, 9.28, 23.64, 6.98, 12
1538, 6.29, 9.08, 9.6, 25, 8.99, 13
1746, 5.49, 7.54, 12.99, 18.66, 8.93, 14
7617, 8.35, 5.04, 9.86, 17.75, 6.18, 15
3767, 7.18, 6, 9.75, 15.47, 7.13, 16
3538, 7.48, 7.79, 11.75, 27.02, 10.57, 17
195, 7.18, 8.63, 12.56, 23.75, 7.79, 18
1023, 5.94, 4.71, 9.54, 15.53, 7.91, 19
9084, 7.45, 4.87, 11.07, 12.91, 8.64, 20
5940, 6.68, 13.05, 16.89, 23.46, 8.83, 1
1756, 8.07, 7.28, 13.45, 23.25, 8.57, 2
6329, 6.65, 10.84, 13.75, 27.38, 9.99, 3
4738, 6.62, 7.85, 10.3, 22.89, 6.66, 4
8046, 6.73, 7.26, 10.88, 16.85, 9.63, 5
3310, 6.5, 6.7, 13.22, 20.63, 7.72, 6
148, 5.52, 7.04, 11.19, 24.36, 9.23, 7
3847, 7.63, 5.63, 11.1, 18.99, 7.05, 8
7220, 7, 5.83, 9.49, 14.95, 7.77, 9
5414, 6.96, 5.39, 13.83, 14.27, 8.37, 10
5727, 5.86, 9.58, 14.43, 18.08, 6.95, 11
3990, 7.95, 7.24, 9.4, 18.51, 8.28, 12
115, 8.2, 4.99, 7.96, 19.09, 7.65, 13
302, 6.72, 6.36, 10.45, 21.26, 10.79, 14
2370, 6.36, 5.22, 12.09, 16.98, 8.09, 15
1771, 6.73, 12.44, 10.94, 20.09, 7.33, 16
649, 6.55, 7.96, 10.04, 17.9, 7.05, 17
449, 6.26, 7.22, 9.07, 18.27, 7.89, 18
325, 6.91, 8.17, 10.28, 19.95, 7.13, 19
5687, 7.91, 8.2, 11.67, 21.51, 5.63, 20
1323, 7.98, 13, 20.26, 23.31, 9.42, 1
4265, 8.32, 7.1, 10.76, 20.02, 6.91, 2
2338, 6.51, 7.92, 14.25, 21.74, 8.84, 3
2046, 5.97, 12.31, 16.88, 24.38, 10.37, 4
3357, 5.02, 11.98, 13.98, 22.33, 10.01, 5
573, 6.98, 7.43, 10.38, 18.08, 6.27, 6
3636, 5.82, 6.55, 11.92, 20.16, 9.57, 7
696, 5, 5.26, 10.4, 15.5, 7.43, 8
2481, 4.73, 11.12, 11.75, 22.09, 8.07, 9
1986, 5.79, 8.79, 9.89, 18.07, 8.8, 10
4391, 6.55, 9.61, 12.02, 24.75, 8.32, 11
1987, 8.21, 7.46, 14.84, 20.77, 7.19, 12
2930, 5.79, 11.37, 11.85, 23.76, 7.72, 13
876, 7.43, 8.55, 12.21, 17.97, 7.98, 14
488, 5.3, 8.07, 11.75, 18.45, 10.31, 15
4400, 7.85, 3.09, 16.3, 3.44, 7.7, 16
4414, 6.83, 7.34, 13.32, 21.04, 7.84, 17
1727, 6.71, 9.89, 14.75, 24.08, 6.99, 18
1807, 6.32, 4.04, 9.11, 21.88, 6.5, 19
7457, 6.47, 7.72, 10.77, 24.83, 7.19, 20
